Mon Jun 10 14:48:54 2024    stats_profiling.raw

         80727910 function calls (80352947 primitive calls) in 260.053 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    62525    0.067    0.000    0.100    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:886(<genexpr>)
    67038    0.067    0.000    0.067    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1039(get_points)
     1964    0.066    0.000    0.177    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:778(_set_format)
     1110    0.065    0.000    0.066    0.000 {built-in method matplotlib._path.path_intersects_rectangle}
80280/75460    0.065    0.000    0.591    0.000 {built-in method builtins.next}
    30930    0.064    0.000    0.079    0.000 {method '__reduce_ex__' of 'object' objects}
    46369    0.063    0.000    0.370    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
    26169    0.063    0.000    0.180    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:1269(set_xdata)
     1215    0.063    0.000    0.161    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:580(count_contains)
   375000    0.062    0.000    0.062    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:764(__getitem__)
    85872    0.062    0.000    0.062    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:346(where)
   130082    0.061    0.000    0.061    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
     2002    0.060    0.000    0.595    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:66(select_initial_step)
    10776    0.060    0.000    1.047    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
    22453    0.060    0.000    0.118    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:880(get_siblings)
     2227    0.059    0.000    0.140    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:219(vstack)
    39006    0.059    0.000    0.186    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:187(match)
    40192    0.059    0.000    0.251    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:213(_is_nth_color)
     3478    0.057    0.000    1.832    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:824(fun_wrapped)
    21879    0.057    0.000    0.057    0.000 {built-in method matplotlib._path.affine_transform}
    67217    0.056    0.000    0.346    0.000 {method 'any' of 'numpy.ndarray' objects}
     9358    0.056    0.000    0.321    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:588(__init__)
     1964    0.056    0.000    0.171    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:705(_compute_offset)
     2227    0.056    0.000    0.074    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:81(atleast_2d)
       50    0.055    0.001    0.062    0.001 {scipy.interpolate._rgi_cython.find_indices}
    39008    0.055    0.000    0.080    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:288(_compile)
     3623    0.055    0.000    0.066    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/ma/core.py:2952(_update_from)
    72394    0.054    0.000    0.081    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:348(iterable)
38403/37198    0.054    0.000    0.365    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:130(__enter__)
20720/20210    0.054    0.000    1.569    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:147(<lambda>)
     7583    0.054    0.000    0.102    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1978(rotate)
    26677    0.053    0.000    0.264    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:265(to_rgba)
6866/6860    0.052    0.000    0.158    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1772(__eq__)
     1490    0.051    0.000    0.119    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:2330(within_tol)
