Tue Jun 11 10:06:30 2024    stats_profiling.raw

         81370879 function calls (80985164 primitive calls) in 183.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
39078/37840    0.053    0.000    0.248    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:139(__exit__)
    47451    0.053    0.000    0.253    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
    27362    0.053    0.000    0.139    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:1269(set_xdata)
     2227    0.052    0.000    0.069    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:81(atleast_2d)
    87729    0.052    0.000    0.052    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:346(where)
     1605    0.051    0.000    0.206    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:57(solve_lsq_trust_region)
    62525    0.051    0.000    0.080    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:886(<genexpr>)
       50    0.051    0.001    0.057    0.001 {scipy.interpolate._rgi_cython.find_indices}
     3062    0.051    0.000    0.111    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:106(phi_and_derivative)
    41887    0.050    0.000    0.050    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2002    0.050    0.000    0.155    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:43(validate_tol)
     2813    0.050    0.000    1.018    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:738(draw)
   175202    0.049    0.000    0.049    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1181(_tile_dispatcher)
     3607    0.049    0.000    1.407    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:824(fun_wrapped)
    22453    0.049    0.000    0.097    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:880(get_siblings)
     4746    0.049    0.000    0.069    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/twodim_base.py:234(diag)
    67219    0.049    0.000    0.294    0.000 {method 'any' of 'numpy.ndarray' objects}
        9    0.048    0.005    0.196    0.022 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
     6228    0.047    0.000    0.611    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
    21446    0.047    0.000    4.407    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/base.py:136(fun)
     8913    0.046    0.000    0.194    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:61(norm)
     1229    0.046    0.000    0.046    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.045    0.023    0.045    0.023 {built-in method pygraphviz._graphviz.agwrite}
    31930    0.045    0.000    0.056    0.000 {method '__reduce_ex__' of 'object' objects}
     3162    0.044    0.000    0.496    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:729(draw)
    22649    0.044    0.000    0.044    0.000 {built-in method matplotlib._path.affine_transform}
    74231    0.043    0.000    0.064    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:348(iterable)
    21446    0.043    0.000    4.360    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/base.py:19(fun_wrapped)
     9428    0.043    0.000    0.232    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:588(__init__)
     2002    0.042    0.000    1.394    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:85(__init__)
    71297    0.041    0.000    0.279    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
     7839    0.041    0.000    0.082    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1978(rotate)
    11447    0.041    0.000    0.041    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2002    0.041    0.000   11.412    0.006 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/trf.py:112(trf)
    27004    0.041    0.000    0.194    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:265(to_rgba)
    39508    0.040    0.000    0.132    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:187(match)
    40694    0.040    0.000    0.178    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:213(_is_nth_color)
    69085    0.040    0.000    0.062    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
    14745    0.040    0.000    0.040    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:190(__init__)
     4042    0.039    0.000    0.071    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:624(translated)
    11288    0.039    0.000    0.537    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
     3607    0.039    0.000    0.099    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:367(in_bounds)
    39510    0.039    0.000    0.058    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:288(_compile)
6865/6859    0.038    0.000    0.126    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1772(__eq__)
    40680    0.038    0.000    0.057    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/enum.py:359(__call__)
11341/10225    0.037    0.000    3.404    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
     1964    0.037    0.000    0.118    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:705(_compute_offset)
   178282    0.037    0.000    0.037    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:295(axes)
    10052    0.037    0.000    0.152    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axes/_base.py:844(<dictcomp>)
    20963    0.037    0.000    0.130    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:277(_recache)
39078/37840    0.037    0.000    0.278    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:130(__enter__)
     8088    0.037    0.000    0.037    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2902(_interval_contains_close)
    39078    0.036    0.000    0.138    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:279(helper)
    12354    0.036    0.000    0.112    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2347(__init__)
    21686    0.036    0.000    0.097    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:1290(set_ydata)
