Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.054    0.002    3.608    0.144 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:472(<lambda>)
    67219    0.054    0.000    0.325    0.000 {method 'any' of 'numpy.ndarray' objects}
    87888    0.054    0.000    0.054    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:346(where)
81610/76662    0.053    0.000    0.523    0.000 {built-in method builtins.next}
    20348    0.053    0.000    4.213    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:529(<lambda>)
    19818    0.053    0.000    0.091    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
    47353    0.053    0.000    0.254    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
    62525    0.053    0.000    0.083    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:886(<genexpr>)
   175520    0.051    0.000    0.051    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1181(_tile_dispatcher)
     2002    0.051    0.000    0.143    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:43(validate_tol)
    27376    0.051    0.000    0.135    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:1269(set_xdata)
39065/37828    0.050    0.000    0.249    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:139(__exit__)
     2811    0.050    0.000    1.023    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:738(draw)
    22453    0.050    0.000    0.097    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:880(get_siblings)
     8730    0.049    0.000    0.201    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:61(norm)
        2    0.047    0.024    0.047    0.024 {built-in method pygraphviz._graphviz.agwrite}
    40750    0.047    0.000    0.047    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     3542    0.047    0.000    1.387    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:824(fun_wrapped)
